WORDCOUNTS,WEIGHT
and,191
of,185
the,137
in,117
for,110
women,76
infections,74
with,73
virus,61
hiv,60
infection,59
a,54
hcv,45
to,45
viral,42
human,41
or,39
was,38
j,38
hbv,38
among,38
by,34
hpv,33
risk,31
were,31
hepatitis,30
sex,29
study,28
cmv,27
prevalence,26
other,25
is,23
may,22
al,22
herpes,22
et,22
associated,21
age,21
simplex,21
high,19
immunodeficiency,19
are,18
type,18
sexual,18
disease,18
ci,17
that,17
population,17
at,16
as,16
c,16
we,16
b,15
united,15
factors,15
diseases,15
adjusted,15
transmitted,15
having,15
sexually,15
states,15
hers,14
school,14
persons,14
from,14
prevention,14
variables,14
drug,14
dis,14
than,14
prevalences,13
idu,13
all,13
an,13
no,12
education,12
had,12
dna,12
infect,12
reported,12
years,12
between,12
not,11
but,11
cytomegalovirus,11
drugs,11
epidemiology,11
medicine,11
new,11
associations,11
infected,11
partners,11
injection,11
d,11
cervicovaginal,11
higher,10
who,10
multivariate,10
these,10
cdc,10
ever,10
control,10
s,10
transmission,10
has,10
because,10
herpesvirus,10
use,10
which,10
commercial,10
have,10
health,10
black,10
be,10
race,10
division,10
vs,9
group,9
most,9
papillomavirus,9
income,9
less,9
centers,9
general,9
research,9
med,9
york,8
testing,8
e,8
positive,8
specimens,8
been,8
lavage,8
jid,8
seroprevalence,8
r,8
on,8
results,8
table,7
us,7
n,7
injected,7
only,7
more,7
also,7
l,7
p,7
assays,7
smoked,7
this,7
association,7
can,7
detection,7
yes,7
engl,7
polymerase,6
genital,6
university,6
baltimore,6
viruses,6
detroit,6
indicated,6
aids,6
found,6
analyses,6
infectious,6
providence,6
number,6
burk,6
chain,6
cause,6
behavioral,6
data,6
incidence,6
reaction,6
behavior,6
national,6
site,6
even,6
clin,5
likely,5
behaviors,5
m,5
types,5
cannon,5
included,5
hsv,5
ors,5
stover,5
atlanta,5
each,5
seropositivity,5
enrolled,5
users,5
first,5
figure,5
liver,5
men,5
public,5
design,5
status,5
serological,5
used,5
socioeconomic,5
level,5
significantly,5
except,5
during,5
factor,5
such,5
enrollment,5
univariate,5
after,5
increased,5
am,5
visit,5
model,4
it,4
fleming,4
therefore,4
ja,4
note,4
common,4
estimated,4
vlahov,4
variable,4
sequelae,4
overall,4
levels,4
college,4
nearly,4
they,4
center,4
white,4
participants,4
cocaine,4
hlv,4
comparison,4
papilloma,4
antibodies,4
stewart,4
corey,4
text,4
acquired,4
cancer,4
smith,4
available,4
klein,4
holmberg,4
rl,4
facilitate,4
serious,4
those,4
however,4
opportunistic,4
remained,4
suggests,4
through,4
elisa,4
alter,4
multiple,4
lifetime,4
example,4
rd,4
significant,4
refers,4
abbott,4
controlled,4
lower,4
thus,4
previous,4
mj,4
i,4
shown,4
low,4
g,4
individual,4
although,4
zo,4
defined,4
transm,4
intercourse,4
brown,4
antibody,4
much,4
using,4
strong,4
crack,4
detected,3
schuman,3
identified,3
dollard,3
f,3
immune,3
result,3
coinfected,3
months,3
epidemic,3
similar,3
large,3
their,3
often,3
confidence,3
blood,3
h,3
examined,3
studies,3
clinical,3
laboratory,3
department,3
confounding,3
social,3
rickettsial,3
mcquillan,3
patients,3
lesions,3
proportion,3
youngest,3
whom,3
sd,3
iii,3
cervical,3
damage,3
robert,3
within,3
microbiol,3
problem,3
exposures,3
gm,3
burden,3
odds,3
aj,3
chiron,3
kaposi,3
examination,3
models,3
both,3
dl,3
ethnicity,3
medical,3
decrease,3
approximately,3
david,3
tested,3
fluids,3
against,3
one,3
did,3
several,3
nahmias,3
annually,3
ratios,3
highly,3
compared,3
effect,3
annual,3
recent,3
immunocompromised,3
cigarettes,3
major,3
occur,3
society,3
increasing,2
assessed,2
dawn,2
via,2
done,2
bold,2
lesser,2
kenneth,2
usually,2
moore,2
represent,2
seronegative,2
gj,2
determine,2
cohort,2
strongly,2
indicates,2
lytt,2
test,2
american,2
k,2
denise,2
sarcoma,2
tend,2
consequences,2
miriam,2
epidemiological,2
albert,2
schmid,2
res,2
gardner,2
younger,2
statistical,2
technical,2
gy,2
assistance,2
disadvantaged,2
numbers,2
attending,2
cis,2
seroprevalences,2
coinfection,2
std,2
increasingly,2
additional,2
t,2
followed,2
lee,2
routes,2
members,2
ho,2
preceding,2
blindness,2
logistic,2
acute,2
dominant,2
important,2
immunoblot,2
rev,2
karon,2
similarly,2
tj,2
goal,2
many,2
einstein,2
different,2
lead,2
marker,2
extent,2
daily,2
young,2
rich,2
jn,2
sc,2
ar,2
clearly,2
demographic,2
warren,2
persist,2
montefiore,2
synergy,2
there,2
gerber,2
persistence,2
risky,2
state,2
ann,2
v,2
duerr,2
increases,2
rs,2
selected,2
re,2
michael,2
surveillance,2
independently,2
well,2
lam,2
dr,2
protective,2
