WORDCOUNTS,WEIGHT
the,961
of,579
and,325
to,223
in,221
a,185
from,133
m,108
at,105
for,103
s,89
was,86
on,81
i,78
is,78
rain,75
p,71
by,69
as,69
that,64
with,64
during,61
it,60
march,57
which,56
were,56
water,54
w,50
are,44
heavy,41
have,40
coast,39
or,39
rains,38
till,35
had,35
an,35
but,34
talara,34
peru,32
this,32
temperature,32
f,31
be,30
years,29
along,28
between,28
io,27
may,26
after,26
january,26
been,25
about,24
not,24
all,23
river,23
more,23
many,23
one,22
other,22
there,22
n,22
temperatures,22
than,21
writer,21
north,21
we,20
phenomena,20
o,19
review,19
no,19
night,19
geographical,19
normal,19
current,19
ii,18
mr,18
countercurrent,18
fig,18
april,18
northern,18
has,18
point,17
their,17
only,17
piura,16
first,16
great,16
el,16
trujillo,16
surface,16
when,16
same,16
two,16
oceanic,16
table,16
rainfall,16
sea,16
de,15
data,15
year,15
south,15
wind,15
made,15
upon,15
period,15
high,15
feet,15
drizzle,15
february,15
through,15
off,15
before,14
j,14
vegetation,14
very,14
santa,14
ocean,14
part,14
peruvian,14
these,14
conditions,14
e,13
season,13
pp,13
near,13
climatic,13
long,13
time,13
hour,13
lightning,13
winds,12
mar,12
callao,12
well,12
its,12
light,12
toward,12
la,12
species,12
southward,12
c,12
such,11
weather,11
shore,11
ecuador,11
hours,11
line,11
also,11
see,11
region,11
so,11
thunder,11
natural,11
much,11
they,10
steady,10
some,10
guayaquil,10
days,10
up,10
southern,10
floods,10
minutes,9
into,9
miles,9
recorded,9
vol,9
since,9
humboldt,9
air,9
because,9
negritos,9
hard,9
new,9
less,9
birds,9
midnight,9
continued,9
began,9
following,9
waters,9
valley,9
rate,8
per,8
lower,8
mm,8
lima,8
r,8
island,8
records,8
weeks,8
he,8
noted,8
again,8
away,8
geogr,8
cape,8
then,8
far,8
u,8
elena,8
them,8
both,8
became,8
effects,8
maximum,8
gulf,8
daybreak,7
rev,7
meteorological,7
every,7
taken,7
warm,7
date,7
america,7
west,7
letter,7
guano,7
his,7
l,7
observations,7
most,7
could,7
parifias,7
paita,7
downpour,7
annual,7
torrential,7
pacific,7
tablazo,7
day,7
desert,7
depth,7
known,7
over,7
down,7
half,7
moderately,7
plants,7
feb,7
middle,7
until,7
course,7
observed,7
now,6
large,6
american,6
h,6
position,6
being,6
t,6
damage,6
within,6
holstein,6
due,6
heilner,6
apr,6
dry,6
followed,6
cotton,6
found,6
del,6
wet,6
balboa,6
precipitation,6
below,6
intervals,6
several,6
few,6
always,6
petroleum,6
islands,6
above,6
end,6
northerly,6
three,6
flood,6
abundant,6
solar,6
figure,6
five,6
seen,6
must,6
here,6
country,6
december,6
month,6
early,6
plata,6
trees,6
average,6
nino,6
major,6
increase,6
way,5
western,5
history,5
said,5
kilometers,5
beds,5
marine,5
those,5
side,5
blanco,5
east,5
arequipa,5
account,5
marked,5
central,5
g,5
equatorial,5
compare,5
even,5
higher,5
town,5
muerto,5
growth,5
coastal,5
earlier,5
similar,5
greater,5
my,5
harbor,5
international,5
further,5
though,5
upwelling,5
change,5
field,5
june,5
velocity,5
radiation,5
mollendo,5
latitude,5
pisco,5
fell,5
fact,5
areas,5
where,5
ports,5
equator,5
evening,5
plant,5
carried,5
lobos,5
months,5
panama,5
deep,5
particularly,5
las,5
rose,5
local,5
reported,5
given,5
jan,5
come,5
chile,5
green,5
you,5
showed,5
noon,5
does,4
chira,4
mountains,4
food,4
stone,4
total,4
paper,4
meters,4
seems,4
company,4
survey,4
dr,4
plain,4
possible,4
minimum,4
tables,4
throughout,4
railway,4
against,4
old,4
chilean,4
obtained,4
how,4
afterwards,4
mean,4
changes,4
cut,4
came,4
appearance,4
seven,4
out,4
lat,4
however,4
andes,4
example,4
whole,4
winter,4
southerly,4
shower,4
least,4
millimeters,4
atmosphere,4
cool,4
periods,4
variety,4
nearly,4
prevailing,4
still,4
standing,4
once,4
museum,4
under,4
railroad,4
rainless,4
thousand,4
inhabitants,4
stream,4
shows,4
pressure,4
murphy,4
together,4
never,4
covered,4
perhaps,4
streets,4
another,4
greatest,4
chiefly,4
intermittent,4
full,4
lakes,4
times,4
like,4
especially,4
can,4
probably,4
dexter,4
dawn,4
miocene,4
sometimes,4
littoral,4
fall,4
flotsam,4
northward,4
ratio,4
any,4
type,4
destroyed,4
what,4
accounts,4
interval,4
extent,4
almost,4
arica,4
subject,4
phenomenon,4
varied,4
moderate,4
shown,4
land,4
evidence,4
captain,4
reached,4
should,4
done,3
flow,3
common,3
belts,3
slight,3
likely,3
grove,3
occurred,3
result,3
different,3
corriente,3
preceding,3
antofagasta,3
orchards,3
height,3
available,3
daily,3
thunderstorm,3
rich,3
hundred,3
tertiary,3
quarter,3
fresh,3
cerro,3
last,3
greatly,3
soc,3
ltd,3
bird,3
figs,3
gardens,3
condition,3
say,3
except,3
lorenzo,3
bowman,3
base,3
relations,3
bay,3
six,3
young,3
left,3
continuous,3
y,3
practically,3
coasts,3
interesting,3
york,3
without,3
district,3
mountain,3
eocene,3
b,3
certain,3
periodic,3
arid,3
