words,0,1,2,3,4
presumably,0.0909140493614,0.272723967092,0.0909140493614,9.09049588655e-06,0.545438843689
stop,0.230768047383,0.0769278104688,0.0769278104688,0.0769278104688,0.538448521211
paired,0.0869589791526,0.130436294863,0.130436294863,0.130436294863,0.521732136258
indicators,0.142859183601,0.2142852041,0.0714331631013,0.0714331631013,0.499989286097
exception,0.142859183601,0.0714331631013,0.2142852041,0.0714331631013,0.499989286097
computable,0.166668055498,0.0833381942419,0.0833381942419,0.166668055498,0.499987500521
locally,0.173913610574,0.0869589791526,4.34773157105e-06,0.260868241995,0.478254820547
markets,0.066671110963,0.2,0.133335555481,0.133335555481,0.466657778074
identifying,0.230768047383,0.153847928926,0.0769278104688,0.0769278104688,0.461528402754
empirically,0.0769278104688,0.0769278104688,0.0769278104688,0.30768816584,0.461528402754
caused,0.230768047383,0.230768047383,0.0769278104688,7.6920118457e-06,0.461528402754
adler,0.230768047383,7.6920118457e-06,7.6920118457e-06,0.30768816584,0.461528402754
esti,0.181818595032,0.136365082612,0.0909115701916,0.136365082612,0.454539669553
dobra,0.0909140493614,0.0909140493614,0.272723967092,0.0909140493614,0.454533884823
actuaries,0.272723967092,0.181819008227,0.0909140493614,9.09049588655e-06,0.454533884823
residence,0.0909140493614,0.272723967092,0.0909140493614,0.0909140493614,0.454533884823
jean,0.0909140493614,0.0909140493614,9.09049588655e-06,0.363628925958,0.454533884823
simpler,0.181819008227,9.09049588655e-06,0.181819008227,0.181819008227,0.454533884823
configuration,0.272723967092,0.0909140493614,9.09049588655e-06,0.181819008227,0.454533884823
generation,0.0909140493614,0.0909140493614,0.0909140493614,0.272723967092,0.454533884823
calculating,0.0555595677898,0.277775617344,0.166667592567,0.0555595677898,0.44443765451
aim,0.111113580178,0.166667592567,0.166667592567,0.111113580178,0.44443765451
explain,0.160000799984,0.279998400032,0.040003199936,0.080002399952,0.439995200096
differs,0.160000799984,0.160000799984,0.160000799984,0.080002399952,0.439995200096
iron,0.0625042967407,0.312496484485,0.0625042967407,0.125002343677,0.437492578357
unobserved,0.187500390613,0.0625042967407,0.249998437549,0.0625042967407,0.437492578357
dead,0.0625042967407,0.187500390613,0.187500390613,0.125002343677,0.437492578357
directions,0.142859183601,0.2142852041,7.14260204993e-06,0.2142852041,0.428563265598
evaluations,0.142859183601,0.142859183601,0.142859183601,0.142859183601,0.428563265598
guess,0.142859183601,0.142859183601,0.142859183601,0.142859183601,0.428563265598
sql,0.0714331631013,0.2142852041,0.142859183601,0.142859183601,0.428563265598
teaching,0.2142852041,0.142859183601,0.0714331631013,0.142859183601,0.428563265598
configurations,0.2142852041,0.142859183601,0.0714331631013,0.142859183601,0.428563265598
glmms,7.14260204993e-06,0.2142852041,0.142859183601,0.2142852041,0.428563265598
panel,0.157895844846,5.26301939423e-06,0.210526038788,0.210526038788,0.421046814558
fnp,0.0833381942419,0.416657639265,0.0833381942419,8.33298612558e-06,0.416657639265
century,8.33298612558e-06,0.166668055498,0.333327778009,0.0833381942419,0.416657639265
supplied,8.33298612558e-06,0.166668055498,0.333327778009,0.0833381942419,0.416657639265
doubly,0.333327778009,0.166668055498,0.0833381942419,8.33298612558e-06,0.416657639265
chains,0.0833381942419,0.249997916753,0.0833381942419,0.166668055498,0.416657639265
generic,0.166668055498,0.166668055498,0.0833381942419,0.166668055498,0.416657639265
reveal,8.33298612558e-06,0.166668055498,0.249997916753,0.166668055498,0.416657639265
block,0.12820604864,0.12820604864,0.256409533211,0.0769246548121,0.410253714696
multinomial,0.2,0.080002399952,0.239999200016,0.080002399952,0.39999600008
priced,0.040003199936,0.2,0.120001599968,0.239999200016,0.39999600008
scott,0.266664444519,0.066671110963,0.133335555481,0.133335555481,0.399993333556
attempts,0.266664444519,0.2,0.066671110963,0.066671110963,0.399993333556
knows,0.066671110963,0.333328889037,6.66644445185e-06,0.2,0.399993333556
manufacturers,0.2,0.133335555481,0.066671110963,0.2,0.399993333556
hamilton,0.142858163247,0.178571811218,0.142858163247,0.142858163247,0.392853699041
whitetop,0.142858163247,0.214285459188,0.0714308673059,0.178571811218,0.392853699041
formed,0.0869589791526,0.260868241995,0.0869589791526,0.173913610574,0.391300189126
insurance,0.173913610574,0.173913610574,0.130436294863,0.130436294863,0.391300189126
offers,0.166667592567,0.277775617344,0.0555595677898,0.111113580178,0.388883642121
phenomenon,0.333329629733,5.55540123885e-06,0.111113580178,0.166667592567,0.388883642121
counting,0.222221604955,0.111113580178,0.111113580178,0.166667592567,0.388883642121
nonnull,0.388883642121,0.111113580178,5.55540123885e-06,0.111113580178,0.388883642121
integrated,0.269229437895,0.115386242572,0.153847041403,0.0769254437415,0.384611834388
