WORDCOUNTS,WEIGHT
the,125
of,95
in,56
debt,38
and,36
to,28
for,27
as,25
by,21
urban,15
estimates,15
on,14
interest,14
c,14
study,13
not,13
a,13
that,13
are,13
i,12
b,12
mortgage,12
is,12
with,12
n,12
rates,12
commerce,11
other,10
department,9
data,9
cent,8
per,8
or,8
these,8
some,8
private,8
billion,8
differences,7
p,7
report,7
well,7
years,7
it,6
one,6
two,6
present,6
be,6
at,5
may,5
companies,5
from,5
but,5
volume,5
each,5
assumed,5
classes,5
have,5
authors,5
between,5
those,5
no,4
united,4
more,4
s,4
new,4
dates,4
do,4
extent,4
statistics,4
course,4
latter,4
figures,4
estimated,3
various,3
they,3
all,3
studies,3
pp,3
mortgages,3
total,3
industrial,3
been,3
obviously,3
investigation,3
degree,3
both,3
through,3
trends,3
its,3
such,3
national,3
an,3
states,3
wholly,3
decline,3
major,3
table,2
anticipated,2
concerned,2
economic,2
primarily,2
bulletin,2
e,2
investigators,2
detailed,2
their,2
direction,2
methods,2
horton,2
support,2
former,2
extensive,2
known,2
also,2
important,2
might,2
board,2
growth,2
greater,2
available,2
totals,2
domestic,2
particularly,2
banks,2
associates,2
survey,2
considerable,2
charges,2
type,2
question,2
places,2
state,2
opposite,2
where,2
reviews,2
income,2
appears,2
shown,2
practice,2
kuvin,2
has,2
savings,2
worthy,2
outstanding,2
maturing,2
conference,2
reader,2
related,2
significant,2
whole,2
definitions,2
regarding,2
trend,2
portfolios,2
employed,2
facts,2
similar,2
average,2
since,2
include,2
although,2
field,2
below,2
period,2
presenting,2
insurance,2
life,2
refinements,2
compared,2
respectively,2
substantial,2
than,2
provided,2
attention,2
final,1
pearson,1
difficult,1
will,1
trustees,1
arriving,1
explanations,1
partially,1
sample,1
devote,1
rate,1
done,1
york,1
whose,1
minor,1
provide,1
materials,1
generalization,1
reviewer,1
bureau,1
betterment,1
rather,1
later,1
institutions,1
l,1
five,1
foreign,1
groups,1
corliss,1
naturally,1
faults,1
represent,1
contraction,1
widespread,1
arrive,1
offset,1
still,1
considerably,1
thereon,1
weaknesses,1
importantly,1
explainable,1
certain,1
viewed,1
compilers,1
generally,1
american,1
seemingly,1
volumes,1
contributions,1
commendable,1
strive,1
properly,1
clarification,1
scattered,1
respect,1
constitutes,1
supporting,1
means,1
itself,1
composites,1
addition,1
resemble,1
evidences,1
statistical,1
explanatory,1
necessarily,1
into,1
presents,1
unlike,1
variable,1
home,1
railroad,1
warren,1
note,1
just,1
exceptions,1
same,1
series,1
tentative,1
gratifying,1
source,1
without,1
four,1
most,1
being,1
first,1
only,1
calculations,1
stressed,1
satisfactory,1
considers,1
inc,1
titles,1
indebtedness,1
connection,1
omission,1
care,1
stated,1
faced,1
providing,1
others,1
definitionthe,1
printing,1
flat,1
holdings,1
character,1
missing,1
publicly,1
efforts,1
unacquainted,1
closely,1
definition,1
fact,1
happening,1
treatment,1
leading,1
canaan,1
assertion,1
appendix,1
method,1
edie,1
great,1
agree,1
typical,1
painstaking,1
parry,1
analyses,1
time,1
admittedly,1
out,1
studied,1
government,1
infer,1
cautious,1
end,1
substantially,1
number,1
deficiencies,1
fashion,1
snyder,1
pitfalls,1
works,1
respects,1
term,1
improved,1
merely,1
better,1
date,1
further,1
hand,1
emphasized,1
mr,1
raised,1
ground,1
classified,1
covered,1
alike,1
what,1
within,1
leonard,1
fisher,1
whether,1
contents,1
answer,1
references,1
issue,1
published,1
depending,1
governmental,1
however,1
xiv,1
classifying,1
dr,1
perhaps,1
theory,1
gaps,1
public,1
capacity,1
primary,1
u,1
outlines,1
receive,1
aspects,1
yield,1
account,1
original,1
cents,1
discrepancies,1
prior,1
literature,1
millions,1
scope,1
burden,1
made,1
chiefly,1
investigator,1
range,1
values,1
writings,1
prominent,1
reported,1
surveys,1
supply,1
except,1
part,1
uncertain,1
reserve,1
cited,1
increase,1
apparent,1
nation,1
yearly,1
correlation,1
revealed,1
encouraged,1
though,1
step,1
entirely,1
year,1
during,1
partly,1
contains,1
point,1
questions,1
thus,1
individuals,1
chapters,1
throughout,1
which,1
were,1
named,1
legal,1
previous,1
office,1
legislation,1
peculiar,1
relationships,1
unaccountable,1
accuracy,1
surance,1
accountable,1
difficulties,1
difference,1
received,1
similarity,1
donald,1
multipliers,1
tables,1
numerous,1
shortcomings,1
september,1
g,1
washington,1
charge,1
group,1
misapprehension,1
base,1
dozen,1
regarded,1
viewing,1
applicable,1
approximately,1
closing,1
d,1
so,1
defaults,1
smaller,1
features,1
debts,1
century,1
collating,1
doane,1
earlier,1
rank,1
measured,1
association,1
items,1
burdens,1
clark,1
roughly,1
comparison,1
respective,1
vi,1
treats,1
problems,1
understate,1
depression,1
dollars,1
computed,1
connecticut,1
served,1
charged,1
topics,1
boundaries,1
examine,1
effect,1
truly,1
find,1
structure,1
concepts,1
early,1
annual,1
when,1
up,1
this,1
ownership,1
slightly,1
little,1
contracts,1
results,1
much,1
versus,1
among,1
apparently,1
notes,1
marshalling,1
evidence,1
computation,1
investigations,1
signals,1
valuable,1
error,1
incidental,1
lend,1
